title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,flag,genero pai,decade
Rave On,Buddy Holly,adult standards,1958,160,71,57,-7,42,96,110,61,3,58,True,adult standards,50s
Raspberry Beret,Prince,funk,1985,121,67,76,-13,7,91,215,21,4,66,True,funk,80s
Raise Your Glass,P!nk,dance pop,2010,122,71,70,-5,3,62,203,0,8,77,True,pop,10s
Rags to Riches,Tony Bennett,adult standards,2011,78,44,41,-9,6,57,168,91,5,54,True,adult standards,10s
Quit Playing Games (With My Heart),Backstreet Boys,boy band,1996,100,83,80,-7,14,90,233,6,3,66,False,boy band,90s
Put Your Records On,Corinne Bailey Rae,british soul,2006,96,51,74,-8,13,54,215,17,4,77,True,soul,00s
Push The Button,Sugababes,bubblegum dance,2005,126,66,96,-5,7,79,218,5,6,43,True,dance,00s
Purple Rain,Prince,funk,1984,113,45,37,-10,69,19,521,4,3,75,True,funk,80s
Pump It,Black Eyed Peas,dance pop,2005,154,93,65,-3,75,74,213,1,18,76,True,pop,00s
Proud Mary,Creedence Clearwater Revival,classic rock,1969,121,64,70,-8,6,73,187,13,3,69,True,rock,60s
Promiscuous,Nelly Furtado,canadian latin,2006,114,97,81,-6,15,87,242,6,5,83,False,canadian latin,00s
Pride (In The Name Of Love) - Remastered 2009,U2,irish rock,1984,106,84,46,-7,78,71,228,0,3,68,True,rock,80s
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,alt z,2017,121,87,70,-5,10,73,194,15,3,64,False,alt z,10s
Poor Little Fool - Remastered,Ricky Nelson,adult standards,1958,155,34,47,-12,13,81,154,65,3,57,True,adult standards,50s
Pon de Replay,Rihanna,barbadian pop,2005,99,64,78,-8,10,50,247,0,16,78,True,pop,00s
Poker Face,Lady Gaga,dance pop,2008,119,81,85,-5,12,79,237,12,8,78,True,pop,00s
Please Mr. Postman,Carpenters,adult standards,1975,133,55,66,-12,24,96,173,14,3,63,True,adult standards,70s
Please Don't Go,Joel Adams,australian pop,2015,84,77,51,-5,29,24,211,1,6,73,True,pop,10s
Piece of My Heart,Erma Franklin,classic soul,2009,161,78,47,-5,8,59,157,14,5,58,True,soul,00s
Picture Of You,Boyzone,boy band,1996,117,92,77,-6,37,86,206,11,4,66,False,boy band,90s
Piano Man,Billy Joel,classic rock,1973,178,55,33,-6,19,43,339,61,3,76,True,rock,70s
Photograph,Ed Sheeran,pop,2014,108,38,61,-10,10,20,259,61,5,84,True,pop,10s
Personality,Lloyd Price,adult standards,1994,129,45,59,-9,10,87,158,74,3,53,True,adult standards,90s
Perfect Strangers,Jonas Blue,dance pop,2018,118,86,73,-4,21,70,197,39,5,77,True,pop,10s
Perfect,Ed Sheeran,pop,2017,95,45,60,-6,11,17,263,16,2,87,True,pop,10s
Pennies From Heaven,Louis Prima,adult standards,1957,186,41,52,-12,7,92,142,45,19,55,True,adult standards,50s
Peggy Sue,Buddy Holly,adult standards,1958,148,42,68,-8,12,49,151,95,3,61,True,adult standards,50s
Payphone,Maroon 5,pop,2012,110,75,74,-5,29,55,231,2,4,82,True,pop,10s
Party In The U.S.A.,Miley Cyrus,dance pop,2009,96,70,65,-5,9,47,202,0,4,79,True,pop,00s
Party Doll,Buddy Knox,brill building pop,2005,90,73,66,-8,22,66,135,72,8,46,True,pop,00s
Paris,The Chainsmokers,dance pop,2017,100,66,65,-6,9,22,222,2,3,71,True,pop,10s
Papa Loves Mambo,Perry Como,adult standards,1975,81,50,67,-10,40,75,162,51,13,57,True,adult standards,70s
Papa Don't Preach,Madonna,dance pop,1986,122,93,83,-3,5,96,269,34,3,66,True,pop,80s
PILLOWTALK,ZAYN,dance pop,2016,125,70,58,-4,9,44,203,12,5,79,True,pop,10s
Over My Shoulder,Mike & The Mechanics,album rock,1995,92,83,63,-8,6,82,217,13,3,70,True,rock,90s
Out Of Reach,Gabrielle,british soul,2001,183,48,51,-7,11,50,197,50,5,70,True,soul,00s
Our House,Madness,new romantic,2009,121,80,52,-5,22,71,191,3,4,55,False,new romantic,00s
Oops!...I Did It Again,Britney Spears,dance pop,2000,95,83,75,-5,36,89,211,30,4,79,True,pop,00s
Only the Lonely,Roy Orbison,adult standards,1961,123,53,57,-11,20,93,146,38,3,62,True,adult standards,60s
Only You (And You Alone),The Platters,adult standards,1986,81,33,42,-10,10,32,160,93,3,66,True,adult standards,80s
Only Wanna Be with You,Hootie & The Blowfish,mellow gold,1994,103,87,49,-6,12,51,230,11,4,70,True,rock,90s
"One, Two Step (feat. Missy Elliott)",Ciara,dance pop,2004,113,51,94,-11,4,84,204,4,16,75,True,pop,00s
One of These Nights - 2013 Remaster,Eagles,album rock,1975,110,61,66,-10,8,77,292,6,3,70,True,rock,70s
One Last Time,Ariana Grande,dance pop,2014,125,59,63,-5,10,10,197,9,3,78,True,pop,10s
One Fine Day,The Chiffons,adult standards,2004,177,87,25,-3,81,60,128,49,13,61,True,adult standards,00s
One Call Away,Charlie Puth,dance pop,2016,91,61,67,-5,12,47,194,40,3,72,True,pop,10s
On The Street Where You Live,Vic Damone,adult standards,2005,115,31,29,-10,14,20,159,87,4,39,True,adult standards,00s
"Oh, Pretty Woman",Roy Orbison,adult standards,1962,127,60,62,-9,7,96,179,71,3,73,True,adult standards,60s
Oh! Carol,Neil Sedaka,adult standards,2003,133,74,58,-7,32,82,136,77,5,46,True,adult standards,00s
Oh Boy! - Overdubbed Version,Buddy Holly,adult standards,2008,97,62,54,-8,11,85,128,78,4,49,True,adult standards,00s
Ode To Billie Joe,Bobbie Gentry,classic uk pop,1967,120,19,64,-11,9,70,255,72,5,57,True,pop,60s
Nothing's Gonna Stop Us Now,Starship,album rock,1987,96,80,64,-5,7,53,270,3,2,76,True,rock,80s
Nothing Compares 2 U,Sinéad O'Connor,lilith,1990,120,57,51,-7,11,16,280,4,3,72,False,lilith,90s
Not Fade Away,Buddy Holly & The Crickets,adult standards,1957,96,48,80,-13,28,92,143,84,4,50,True,adult standards,50s
Nobody Does It Better,Marvin Hamlisch,broadway,1977,135,40,37,-13,20,34,213,70,3,61,False,broadway,70s
No Scrubs,TLC,atl hip hop,1999,93,68,74,-4,7,59,214,3,10,79,True,hip hop,90s
No Promises (feat. Demi Lovato),Cheat Codes,dance pop,2017,113,67,74,-5,11,60,224,6,13,70,True,pop,10s
No Particular Place To Go - Stereo Remix,Chuck Berry,blues rock,1986,130,54,57,-12,6,98,164,21,7,44,True,rock,80s
No One,Alicia Keys,hip pop,2007,90,55,64,-5,13,17,254,2,3,79,True,pop,00s
No Matter What,Boyzone,boy band,1998,93,42,70,-9,14,53,274,19,2,65,False,boy band,90s
No Air (feat. Chris Brown),Jordin Sparks,dance pop,2007,160,76,47,-5,6,33,264,5,20,72,True,pop,00s
Nikita,Elton John,glam rock,1985,87,66,63,-9,7,75,343,12,3,69,True,rock,80s
New Sensation,INXS,australian rock,1987,115,95,68,-5,5,93,220,1,6,66,True,rock,80s
New Rules,Dua Lipa,dance pop,2017,116,70,76,-6,15,61,209,0,7,80,True,pop,10s
Never Tear Us Apart,INXS,australian rock,1987,97,61,66,-8,18,19,185,0,3,69,True,rock,80s
Never Really Over,Katy Perry,dance pop,2019,100,88,77,-5,32,39,224,19,6,74,True,pop,10s
Never Going Back Again - 2004 Remaster,Fleetwood Mac,album rock,1977,176,34,65,-13,8,95,134,86,4,69,True,rock,70s
Never Forget You,Zara Larsson,dance pop,2017,146,73,58,-6,27,28,213,0,5,75,True,pop,10s
Never Ever,All Saints,bubblegum dance,1997,134,54,74,-5,5,31,388,56,3,62,True,dance,90s
Needles and Pins - Mono,The Searchers,adult standards,1964,124,95,56,-7,6,89,131,5,4,57,True,adult standards,60s
Need You Tonight,INXS,australian rock,1987,109,63,80,-7,9,79,181,4,8,71,True,rock,80s
Mysterious Girl - Radio Edit,Peter Andre,bubblegum dance,2004,172,82,66,-6,30,86,217,14,21,61,True,dance,00s
My Sharona,The Knack,album rock,1979,147,70,59,-10,3,90,295,6,4,73,True,rock,70s
My Love Is Your Love,Whitney Houston,dance pop,1998,83,48,77,-10,6,47,262,6,16,69,True,pop,90s
My Life,Billy Joel,classic rock,1978,131,65,74,-13,6,80,284,11,4,70,True,rock,70s
My Girl,Otis Redding,classic soul,2017,204,41,49,-6,14,67,175,50,6,39,True,soul,10s
My Girl,The Temptations,classic soul,1965,105,42,57,-11,10,69,165,64,3,78,True,soul,60s
My Funny Valentine - Remastered,Frank Sinatra,adult standards,1954,85,13,26,-14,11,25,151,89,3,55,True,adult standards,50s
Mustang Sally,Wilson Pickett,brill building pop,2005,110,33,73,-18,21,69,188,11,4,62,True,pop,00s
"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,classic rock,1968,92,46,61,-14,7,81,244,71,5,75,True,rock,60s
Mr. Tambourine Man,The Byrds,art rock,1965,120,47,46,-10,44,64,149,51,3,65,True,rock,60s
Mr. Jones,Counting Crows,alternative rock,1993,142,82,58,-7,28,73,272,18,4,77,True,rock,90s
Mr. Brightside,The Killers,alternative rock,2004,148,91,35,-5,10,24,223,0,7,83,True,rock,00s
Mr. Blue,The Fleetwoods,adult standards,1993,97,9,37,-17,11,21,145,93,4,58,True,adult standards,90s
Moving on Up,M People,dance pop,1998,125,86,90,-6,11,96,216,5,4,64,True,pop,90s
Move It - 2002 Remaster,Cliff Richard & The Drifters,rock-and-roll,2015,82,85,63,-5,29,93,142,69,3,41,True,rock,10s
Morning Has Broken,Yusuf / Cat Stevens,british folk,1971,133,32,42,-13,9,41,200,62,3,69,True,folk,70s
More Than a Feeling,Boston,album rock,1976,109,68,38,-8,5,28,285,0,3,78,True,rock,70s
Moondance - 2013 Remaster,Van Morrison,classic rock,1970,67,28,61,-12,15,56,274,50,3,68,True,rock,70s
"Moon River (From ""Breakfast at Tiffany's"")",Andy Williams,adult standards,1962,96,21,28,-16,12,20,163,86,3,64,True,adult standards,60s
Money (That's What I Want),Barrett Strong,motown,2012,132,84,66,-7,11,95,160,34,3,41,True,r&b,10s
"Monday, Monday - Single Version",The Mamas & The Papas,brill building pop,1966,110,46,49,-9,57,71,208,74,3,62,True,pop,60s
Misty,Johnny Mathis,adult standards,1959,82,27,22,-14,11,22,217,88,4,57,True,adult standards,50s
Mirrors,Justin Timberlake,dance pop,2013,77,51,57,-7,9,51,484,23,5,79,True,pop,10s
Midnight Train to Georgia,Gladys Knight & The Pips,brill building pop,1973,92,38,60,-12,10,45,279,27,5,71,True,pop,70s
Mess Around,Ray Charles,adult standards,1957,149,96,56,-3,6,91,160,44,6,58,True,adult standards,50s
Mercy,Shawn Mendes,canadian pop,2017,148,66,56,-5,11,36,209,13,8,79,True,pop,10s
Memories,Maroon 5,pop,2021,91,33,78,-7,8,60,189,84,6,86,True,pop,10s
Meet Me Halfway,Black Eyed Peas,dance pop,2009,130,63,80,-7,32,40,284,0,7,72,True,pop,00s
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,dance pop,2017,154,78,64,-6,8,58,164,5,9,77,True,pop,10s
Me and Bobby McGee,Janis Joplin,blues rock,1971,93,46,43,-11,15,66,271,30,4,71,True,rock,70s
Maybellene,Chuck Berry,blues rock,1959,118,77,76,-11,18,78,143,74,11,56,True,rock,50s
Maybe Baby,Buddy Holly & The Crickets,adult standards,1957,137,48,61,-13,25,89,123,71,3,50,True,adult standards,50s
Massachusetts - Stereo Version,Bee Gees,disco,1968,102,57,48,-8,7,51,147,0,3,58,False,disco,60s
Mary's Prayer,Danny Wilson,new wave pop,1987,135,57,68,-13,12,66,234,24,4,60,True,pop,80s
Marry You,Bruno Mars,dance pop,2010,145,83,62,-5,10,48,230,33,4,75,True,pop,10s
Maps,Maroon 5,pop,2014,120,71,74,-6,6,88,190,2,3,81,True,pop,10s
Mannish Boy,Muddy Waters,blues,1977,111,74,60,-11,68,62,321,44,10,64,True,blues,70s
Manic Monday,The Bangles,album rock,1985,122,57,69,-12,21,87,184,34,3,52,True,rock,80s
Maneater,Nelly Furtado,canadian latin,2006,133,78,80,-5,12,79,259,3,4,81,False,canadian latin,00s
Maneater,Daryl Hall & John Oates,album rock,1982,89,50,72,-13,8,82,273,4,4,75,True,rock,80s
Mandy,Barry Manilow,adult standards,1974,104,46,31,-9,14,32,213,42,3,68,True,adult standards,70s
Man! I Feel Like A Woman!,Shania Twain,canadian country,1997,125,64,66,-8,28,67,234,58,4,75,True,country,90s
Man in the Mirror - 2012 Remaster,Michael Jackson,pop,1987,100,81,81,-5,13,27,319,52,4,70,True,pop,80s
Mambo No. 5 (a Little Bit of...),Lou Bega,latin pop,1999,174,81,62,-7,31,89,220,10,41,76,True,pop,90s
Magic Moments,Perry Como,adult standards,1993,104,26,72,-14,26,75,160,88,4,58,True,adult standards,90s
Maggie May,Rod Stewart,classic rock,1971,129,57,61,-11,7,54,350,56,4,72,True,rock,70s
Mack the Knife,Bobby Darin,adult standards,1959,83,53,55,-12,21,46,184,76,11,63,True,adult standards,50s
MMMBop,Hanson,boy band,1997,105,94,68,-6,7,62,269,0,4,69,False,boy band,90s
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,pop,2019,182,83,61,-4,12,73,193,3,6,77,True,pop,10s
Lush Life,Zara Larsson,dance pop,2017,98,71,69,-4,21,80,201,13,5,77,True,pop,10s
