title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,flag,genero pai,decade
At Last,Etta James,adult standards,1960,87,35,27,-9,33,33,180,55,3,75,True,adult standards,60s
As Long as You Love Me,Backstreet Boys,boy band,1997,98,80,80,-5,22,83,221,28,3,71,False,boy band,90s
Are You Ready For Love? - Remastered,Elton John,glam rock,2017,117,75,80,-5,11,75,212,25,3,66,True,rock,10s
Aquarius/Let The Sunshine In (The Flesh Failures) [Remastered],The 5th Dimension,adult standards,2011,118,56,31,-10,8,49,290,47,4,46,True,adult standards,10s
Another Saturday Night,Sam Cooke,adult standards,1964,123,66,78,-8,9,97,160,43,5,58,True,adult standards,60s
Annie's Song,John Denver,classic country pop,1974,146,31,30,-11,37,46,181,87,3,70,True,pop,70s
Animals,Maroon 5,pop,2015,190,74,28,-6,59,33,231,0,9,63,True,pop,10s
Angels,Robbie Williams,dance pop,1997,150,59,43,-6,10,24,265,16,3,74,True,pop,90s
American Pie,Don McLean,adult standards,1971,138,48,53,-12,8,49,517,70,6,76,True,adult standards,70s
American Boy,Estelle,neo soul,2008,118,73,73,-3,7,51,285,17,33,78,True,soul,00s
America,Simon & Garfunkel,classic rock,1968,178,24,26,-16,8,28,215,55,4,64,True,rock,60s
Amazed,Lonestar,contemporary country,1995,140,54,56,-8,12,28,240,23,3,56,True,country,90s
Always on My Mind,Pet Shop Boys,art pop,1998,125,78,53,-11,19,73,235,1,4,70,True,pop,90s
Always On My Mind,Elvis Presley,rock-and-roll,1973,181,39,36,-14,12,50,218,75,3,66,True,rock,70s
Always Be My Baby,Mariah Carey,dance pop,1995,79,53,65,-8,25,49,258,46,4,73,True,pop,90s
Alone,Heart,album rock,1987,175,45,42,-13,10,17,219,64,4,74,True,rock,80s
All of Me,John Legend,neo soul,2013,120,26,42,-7,13,33,270,92,3,86,True,soul,10s
All You Need Is Love - Remastered 2009,The Beatles,beatlesque,1967,103,48,40,-8,16,65,230,35,3,65,True,rock,60s
All That She Wants,Ace of Base,bubblegum dance,1993,94,63,80,-10,10,86,211,1,5,73,True,dance,90s
All Shook Up,Elvis Presley,rock-and-roll,1958,74,47,62,-12,14,95,117,88,13,59,True,rock,50s
All Right,Christopher Cross,adult standards,1983,133,65,71,-5,23,50,254,17,4,62,True,adult standards,80s
All Night Long (All Night) - Single Version,Lionel Richie,adult standards,1992,109,60,75,-12,3,83,259,15,4,71,True,adult standards,90s
All My Life,K-Ci & JoJo,dance pop,1997,128,51,63,-9,6,18,331,11,3,72,True,pop,90s
All I Wanna Do,Sheryl Crow,lilith,1993,120,53,82,-11,26,93,272,11,3,69,False,lilith,90s
All I Have to Do Is Dream,The Everly Brothers,adult standards,1964,96,46,53,-8,13,53,143,84,3,67,True,adult standards,60s
All I Ask,Adele,british soul,2015,142,28,59,-5,12,35,272,89,3,77,True,soul,10s
All For You,Janet Jackson,dance pop,2001,114,93,75,-3,13,73,330,2,7,65,True,pop,00s
"All For Love - From ""The Three Musketeers""",Bryan Adams,album rock,2017,75,57,41,-6,13,15,284,19,3,57,True,rock,10s
Albatross,Fleetwood Mac,album rock,1969,67,11,47,-16,11,25,190,80,3,59,True,rock,60s
Ain't That A Shame,Fats Domino,adult standards,1959,123,50,49,-9,7,94,152,77,3,59,True,adult standards,50s
Ain't No Sunshine,Bill Withers,funk,1971,78,42,53,-11,12,52,125,46,12,78,True,funk,70s
Ain't No Stoppin' Us Now - Single Version,McFadden & Whitehead,disco,2021,113,70,74,-9,15,88,218,9,5,61,False,disco,10s
Ain't No Mountain High Enough,Marvin Gaye,classic soul,1967,130,60,66,-11,18,80,152,43,3,80,True,soul,60s
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,mellow gold,2016,116,50,58,-7,13,11,206,20,3,75,True,rock,10s
Again,Janet Jackson,dance pop,1993,130,29,36,-10,19,19,227,88,3,60,True,pop,90s
Afternoon Delight,Starland Vocal Band,bubblegum pop,1976,147,44,49,-12,10,79,193,49,3,61,True,pop,70s
Africa,TOTO,album rock,1982,93,37,67,-18,5,73,296,26,3,82,True,rock,80s
Adore You,Harry Styles,pop,2019,99,77,68,-4,10,57,207,2,5,84,True,pop,10s
Addicted To Love,Robert Palmer,album rock,1985,112,58,70,-13,4,98,364,38,3,70,True,rock,80s
About You Now,Sugababes,bubblegum dance,2007,165,71,55,-6,55,58,213,0,4,39,True,dance,00s
A World Without Love,Peter And Gordon,beatlesque,2017,130,66,51,-10,11,75,161,23,6,34,True,rock,10s
A Whole New World (Aladdin's Theme),Peabo Bryson,adult standards,1992,108,19,54,-17,17,16,250,64,3,55,True,adult standards,90s
A Whiter Shade of Pale - Original Single Version,Procol Harum,album rock,2019,150,66,25,-7,9,44,249,50,3,68,True,rock,10s
A Thousand Miles,Vanessa Carlton,lilith,2002,95,83,56,-4,16,27,237,32,4,76,False,lilith,00s
A Teenager In Love,Dion & The Belmonts,adult standards,1959,79,38,56,-9,13,62,158,67,3,62,True,adult standards,50s
A Sky Full of Stars,Coldplay,permanent wave,2014,125,68,55,-6,21,16,268,1,3,78,True,wave,10s
A Place In The Sun,Stevie Wonder,funk,1966,118,45,56,-11,32,73,173,28,5,53,True,funk,60s
A Little Respect - 2009 - Remaster,Erasure,europop,1988,114,79,61,-8,29,63,214,3,3,69,True,pop,80s
A Kind Of Magic - Remastered 2011,Queen,classic rock,1986,130,78,67,-6,13,70,264,2,4,69,True,rock,80s
A Hard Day's Night - Remastered 2015,The Beatles,beatlesque,2000,139,82,55,-5,10,76,153,5,3,57,True,rock,00s
A Groovy Kind of Love,Phil Collins,mellow gold,2004,144,31,45,-10,10,18,211,24,3,70,True,rock,00s
9 to 5,Dolly Parton,classic country pop,1980,105,78,55,-6,63,81,162,42,5,76,True,pop,80s
7 rings,Ariana Grande,dance pop,2019,140,32,78,-11,9,33,179,59,33,85,True,pop,10s
50 Ways to Leave Your Lover,Paul Simon,classic rock,1975,102,37,82,-13,8,29,217,17,8,68,True,rock,70s
4 Minutes (feat. Justin Timberlake & Timbaland),Madonna,dance pop,2009,113,93,75,-5,23,77,190,1,7,71,True,pop,00s
03:00,Matchbox Twenty,neo mellow,1996,108,67,52,-9,12,54,226,1,3,70,True,rock,90s
2 Become 1,Spice Girls,dance pop,1996,144,67,65,-8,24,70,241,33,3,66,True,pop,90s
"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,2019,90,63,65,-5,11,43,168,15,3,80,True,country,10s
...Baby One More Time,Britney Spears,dance pop,1999,93,70,76,-6,44,91,211,20,3,79,True,pop,90s
(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,adult standards,2006,95,69,63,-7,12,94,181,18,5,67,True,adult standards,00s
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,classic soul,1968,111,27,60,-10,14,41,165,68,3,69,True,soul,60s
(What A) Wonderful World,Sam Cooke,adult standards,2000,129,51,69,-10,46,89,125,63,3,69,True,adult standards,00s
(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,adult standards,1955,91,86,81,-6,8,78,130,21,17,65,True,adult standards,50s
(Sittin' On) the Dock of the Bay,Otis Redding,classic soul,1968,206,31,48,-14,6,60,167,72,5,63,True,soul,60s
(Love Is Like A) Heat Wave,Martha Reeves & The Vandellas,brill building pop,1963,167,62,51,-9,31,76,163,51,8,63,True,pop,60s
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,soft rock,2009,109,78,70,-8,6,39,289,9,5,59,True,rock,00s
(I Just) Died In Your Arms,Cutting Crew,album rock,1986,125,73,63,-11,6,51,280,2,4,74,True,rock,80s
(I Can't Help) Falling In Love With You,UB40,reggae,1993,172,72,64,-13,12,84,207,4,4,69,True,reggae,90s
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,british invasion,1971,136,84,73,-9,10,83,223,0,5,60,True,rock,70s
(Everything I Do) I Do It For You,Bryan Adams,album rock,1991,131,36,53,-13,6,30,394,8,3,76,True,rock,90s
('Til) I Kissed You,The Everly Brothers,adult standards,1964,140,43,52,-12,30,70,146,40,5,55,True,adult standards,60s
